date,consumption
1593579600000,17
1593583200000,35
1593586800000,82
1593590400000,76
1593594000000,75
1593597600000,1
1593601200000,72
1593604800000,79
1593608400000,41
1593612000000,69
1593615600000,9
1593619200000,12
1593622800000,97
1593626400000,58
1593630000000,87
1593633600000,54
1593637200000,72
1593640800000,35
1593644400000,92
1593648000000,5
1593651600000,43
1593655200000,40
1593658800000,35
1593662400000,5
1593666000000,74
1593669600000,86
1593673200000,74
1593676800000,52
1593680400000,68
1593684000000,41
1593687600000,34
1593691200000,1
1593694800000,34
1593698400000,100
1593702000000,10
1593705600000,51
1593709200000,93
1593712800000,100
1593716400000,76
1593720000000,60
1593723600000,60
1593727200000,57
1593730800000,48
1593734400000,7
1593738000000,10
1593741600000,40
1593745200000,70
1593748800000,23
1593752400000,3
1593756000000,65
1593759600000,84
1593763200000,57
1593766800000,88
1593770400000,39
1593774000000,25
1593777600000,1
1593781200000,99
1593784800000,49
1593788400000,78
1593792000000,27
1593795600000,5
1593799200000,10
1593802800000,27
1593806400000,28
1593810000000,55
1593813600000,14
1593817200000,41
1593820800000,85
1593824400000,89
1593828000000,95
1593831600000,42
1593835200000,62
1593838800000,45
1593842400000,69
1593846000000,60
1593849600000,22
1593853200000,31
1593856800000,11
1593860400000,62
1593864000000,85
1593867600000,35
1593871200000,10
1593874800000,91
1593878400000,16
1593882000000,90
1593885600000,13
1593889200000,17
1593892800000,70
1593896400000,73
1593900000000,47
1593903600000,54
1593907200000,77
1593910800000,65
1593914400000,57
1593918000000,76
1593921600000,3
1593925200000,83
1593928800000,60
1593932400000,60
1593936000000,23
1593939600000,54
1593943200000,75
1593946800000,19
1593950400000,89
1593954000000,88
1593957600000,21
1593961200000,13
1593964800000,18
1593968400000,41
1593972000000,24
1593975600000,75
1593979200000,58
1593982800000,60
1593986400000,2
1593990000000,35
1593993600000,85
1593997200000,10
1594000800000,44
1594004400000,53
1594008000000,59
1594011600000,8
1594015200000,77
1594018800000,92
1594022400000,16
1594026000000,97
1594029600000,70
1594033200000,1
1594036800000,67
1594040400000,51
1594044000000,83
1594047600000,23
1594051200000,15
1594054800000,75
1594058400000,7
1594062000000,78
1594065600000,15
1594069200000,30
1594072800000,5
1594076400000,41
1594080000000,21
1594083600000,33
1594087200000,27
1594090800000,46
