date,consumption
1596258000000,1
1596261600000,22
1596265200000,96
1596268800000,58
1596272400000,64
1596276000000,33
1596279600000,60
1596283200000,98
1596286800000,83
1596290400000,7
1596294000000,26
1596297600000,65
1596301200000,66
1596304800000,62
1596308400000,83
1596312000000,6
1596315600000,70
1596319200000,36
1596322800000,16
1596326400000,30
1596330000000,20
1596333600000,51
1596337200000,25
1596340800000,81
1596344400000,61
1596348000000,13
1596351600000,32
1596355200000,37
1596358800000,57
1596362400000,53
1596366000000,63
1596369600000,13
1596373200000,14
1596376800000,42
1596380400000,90
1596384000000,83
1596387600000,34
1596391200000,3
1596394800000,84
1596398400000,71
1596402000000,31
1596405600000,4
1596409200000,56
1596412800000,57
1596416400000,73
1596420000000,21
1596423600000,72
1596427200000,12
1596430800000,73
1596434400000,29
1596438000000,70
1596441600000,10
1596445200000,10
1596448800000,77
1596452400000,57
1596456000000,55
1596459600000,61
1596463200000,98
1596466800000,69
1596470400000,27
1596474000000,96
1596477600000,2
1596481200000,50
1596484800000,76
1596488400000,57
1596492000000,87
1596495600000,1
1596499200000,1
1596502800000,86
1596506400000,32
1596510000000,15
1596513600000,8
1596517200000,100
1596520800000,43
1596524400000,53
1596528000000,36
1596531600000,61
1596535200000,10
1596538800000,65
1596542400000,24
1596546000000,57
1596549600000,42
1596553200000,24
1596556800000,72
1596560400000,46
1596564000000,89
1596567600000,1
1596571200000,91
1596574800000,2
1596578400000,2
1596582000000,22
1596585600000,18
1596589200000,58
1596592800000,7
1596596400000,17
1596600000000,18
1596603600000,77
1596607200000,1
1596610800000,94
1596614400000,21
1596618000000,89
1596621600000,38
1596625200000,17
1596628800000,97
1596632400000,58
1596636000000,34
1596639600000,81
1596643200000,18
1596646800000,35
1596650400000,87
1596654000000,55
1596657600000,60
1596661200000,7
1596664800000,39
1596668400000,73
1596672000000,39
1596675600000,41
1596679200000,5
1596682800000,72
1596686400000,84
1596690000000,37
1596693600000,26
1596697200000,63
1596700800000,96
1596704400000,13
1596708000000,27
1596711600000,63
1596715200000,24
1596718800000,56
1596722400000,96
1596726000000,26
1596729600000,46
1596733200000,46
1596736800000,52
1596740400000,17
1596744000000,5
1596747600000,26
1596751200000,34
1596754800000,68
1596758400000,34
1596762000000,62
1596765600000,73
1596769200000,79
1596772800000,74
1596776400000,99
1596780000000,11
1596783600000,61
1596787200000,94
1596790800000,42
1596794400000,68
1596798000000,91
1596801600000,88
1596805200000,41
1596808800000,9
1596812400000,74
1596816000000,18
1596819600000,34
1596823200000,4
1596826800000,83
1596830400000,74
1596834000000,90
1596837600000,70
1596841200000,2
1596844800000,7
1596848400000,39
1596852000000,42
1596855600000,4
1596859200000,51
1596862800000,33
1596866400000,63
1596870000000,44
1596873600000,12
1596877200000,28
1596880800000,34
1596884400000,77
1596888000000,52
1596891600000,65
1596895200000,94
1596898800000,35
1596902400000,58
1596906000000,81
1596909600000,64
1596913200000,50
1596916800000,84
1596920400000,70
1596924000000,78
1596927600000,22
1596931200000,23
1596934800000,88
1596938400000,48
1596942000000,100
1596945600000,3
1596949200000,42
1596952800000,34
1596956400000,27
1596960000000,78
1596963600000,25
1596967200000,52
1596970800000,11
1596974400000,56
1596978000000,25
1596981600000,74
1596985200000,96
1596988800000,3
1596992400000,51
1596996000000,55
1596999600000,55
1597003200000,86
1597006800000,4
1597010400000,63
1597014000000,77
1597017600000,45
1597021200000,74
1597024800000,35
1597028400000,11
1597032000000,27
1597035600000,92
1597039200000,35
1597042800000,3
1597046400000,48
1597050000000,48
1597053600000,80
1597057200000,77
1597060800000,59
1597064400000,74
1597068000000,22
1597071600000,21
1597075200000,29
1597078800000,63
1597082400000,68
1597086000000,68
1597089600000,92
1597093200000,52
1597096800000,26
1597100400000,39
1597104000000,30
1597107600000,7
1597111200000,21
1597114800000,52
1597118400000,71
1597122000000,90
1597125600000,96
1597129200000,9
1597132800000,100
1597136400000,4
1597140000000,82
1597143600000,75
