date,consumption
1596258000000,44
1596261600000,54
1596265200000,22
1596268800000,32
1596272400000,30
1596276000000,75
1596279600000,20
1596283200000,3
1596286800000,65
1596290400000,28
1596294000000,45
1596297600000,37
1596301200000,19
1596304800000,25
1596308400000,60
1596312000000,57
1596315600000,19
1596319200000,82
1596322800000,23
1596326400000,57
1596330000000,35
1596333600000,3
1596337200000,51
1596340800000,54
1596344400000,37
1596348000000,59
1596351600000,10
1596355200000,91
1596358800000,73
1596362400000,81
1596366000000,44
1596369600000,59
1596373200000,58
1596376800000,6
1596380400000,55
1596384000000,68
1596387600000,52
1596391200000,49
1596394800000,63
1596398400000,43
1596402000000,5
1596405600000,40
1596409200000,86
1596412800000,94
1596416400000,44
1596420000000,32
1596423600000,3
1596427200000,16
1596430800000,11
1596434400000,27
1596438000000,97
1596441600000,37
1596445200000,74
1596448800000,38
1596452400000,18
1596456000000,15
1596459600000,61
1596463200000,82
1596466800000,71
1596470400000,21
1596474000000,45
1596477600000,58
1596481200000,4
1596484800000,88
1596488400000,27
1596492000000,94
1596495600000,32
1596499200000,82
1596502800000,93
1596506400000,48
1596510000000,68
1596513600000,9
1596517200000,29
1596520800000,43
1596524400000,24
1596528000000,87
1596531600000,86
1596535200000,87
1596538800000,34
1596542400000,45
1596546000000,55
1596549600000,88
1596553200000,89
1596556800000,20
1596560400000,71
1596564000000,51
1596567600000,33
1596571200000,26
1596574800000,97
1596578400000,72
1596582000000,65
1596585600000,56
1596589200000,91
1596592800000,71
1596596400000,100
1596600000000,17
1596603600000,52
1596607200000,44
1596610800000,26
1596614400000,95
1596618000000,81
1596621600000,15
1596625200000,85
1596628800000,92
1596632400000,46
1596636000000,20
1596639600000,97
1596643200000,25
1596646800000,6
1596650400000,21
1596654000000,71
1596657600000,18
1596661200000,18
1596664800000,74
1596668400000,80
1596672000000,71
1596675600000,37
1596679200000,11
1596682800000,86
1596686400000,40
1596690000000,77
1596693600000,57
1596697200000,27
1596700800000,82
1596704400000,78
1596708000000,78
1596711600000,72
1596715200000,26
1596718800000,81
1596722400000,61
1596726000000,6
1596729600000,26
1596733200000,54
1596736800000,20
1596740400000,90
1596744000000,28
1596747600000,27
1596751200000,58
1596754800000,50
1596758400000,18
1596762000000,53
1596765600000,81
1596769200000,37
1596772800000,13
1596776400000,36
1596780000000,39
1596783600000,6
1596787200000,77
1596790800000,44
1596794400000,3
1596798000000,49
1596801600000,72
1596805200000,91
1596808800000,53
1596812400000,83
1596816000000,30
1596819600000,17
1596823200000,72
1596826800000,95
1596830400000,46
1596834000000,1
1596837600000,93
1596841200000,97
1596844800000,77
1596848400000,76
1596852000000,58
1596855600000,35
1596859200000,79
1596862800000,94
1596866400000,80
1596870000000,39
1596873600000,4
1596877200000,44
1596880800000,15
1596884400000,60
1596888000000,14
1596891600000,88
1596895200000,55
1596898800000,92
1596902400000,9
1596906000000,34
1596909600000,57
1596913200000,26
1596916800000,85
1596920400000,93
1596924000000,22
1596927600000,89
1596931200000,49
1596934800000,49
1596938400000,40
1596942000000,26
1596945600000,58
1596949200000,42
1596952800000,67
1596956400000,99
1596960000000,59
1596963600000,11
1596967200000,53
1596970800000,93
1596974400000,12
1596978000000,30
1596981600000,77
1596985200000,43
1596988800000,60
1596992400000,92
1596996000000,89
1596999600000,66
1597003200000,46
1597006800000,69
1597010400000,13
1597014000000,78
1597017600000,74
1597021200000,97
1597024800000,17
1597028400000,71
1597032000000,62
1597035600000,29
1597039200000,38
1597042800000,4
1597046400000,62
1597050000000,64
1597053600000,16
1597057200000,64
1597060800000,58
1597064400000,98
1597068000000,55
1597071600000,53
1597075200000,5
1597078800000,6
1597082400000,40
1597086000000,17
1597089600000,6
1597093200000,68
1597096800000,80
1597100400000,17
1597104000000,78
1597107600000,97
1597111200000,30
1597114800000,43
1597118400000,69
1597122000000,17
1597125600000,73
1597129200000,18
1597132800000,65
1597136400000,52
1597140000000,90
1597143600000,9
1597147200000,2
1597150800000,88
1597154400000,70
1597158000000,88
1597161600000,32
1597165200000,7
1597168800000,58
1597172400000,25
1597176000000,94
1597179600000,14
1597183200000,58
1597186800000,40
1597190400000,2
1597194000000,93
1597197600000,15
1597201200000,74
1597204800000,1
1597208400000,15
1597212000000,48
1597215600000,81
1597219200000,21
1597222800000,53
1597226400000,33
1597230000000,82
1597233600000,25
1597237200000,65
1597240800000,37
1597244400000,58
1597248000000,54
1597251600000,16
1597255200000,65
1597258800000,55
1597262400000,29
1597266000000,2
1597269600000,55
1597273200000,48
1597276800000,76
1597280400000,25
1597284000000,82
1597287600000,96
1597291200000,54
1597294800000,38
1597298400000,17
1597302000000,47
1597305600000,52
1597309200000,24
1597312800000,26
1597316400000,54
1597320000000,56
1597323600000,10
1597327200000,1
1597330800000,35
1597334400000,99
1597338000000,96
1597341600000,20
1597345200000,54
1597348800000,86
1597352400000,83
1597356000000,67
1597359600000,16
1597363200000,72
1597366800000,95
1597370400000,73
1597374000000,50
1597377600000,17
1597381200000,23
1597384800000,56
1597388400000,46
1597392000000,7
1597395600000,33
1597399200000,94
1597402800000,73
1597406400000,11
1597410000000,70
1597413600000,18
1597417200000,63
1597420800000,15
1597424400000,74
1597428000000,22
1597431600000,95
1597435200000,19
1597438800000,99
1597442400000,40
1597446000000,53
1597449600000,2
1597453200000,13
1597456800000,98
1597460400000,34
1597464000000,73
1597467600000,74
1597471200000,15
1597474800000,66
1597478400000,6
1597482000000,81
1597485600000,35
1597489200000,38
1597492800000,80
1597496400000,72
1597500000000,25
1597503600000,2
1597507200000,57
1597510800000,17
1597514400000,5
1597518000000,78
1597521600000,32
1597525200000,52
1597528800000,80
1597532400000,76
1597536000000,13
1597539600000,23
1597543200000,80
1597546800000,69
1597550400000,39
1597554000000,55
1597557600000,9
1597561200000,34
1597564800000,87
1597568400000,84
1597572000000,14
1597575600000,18
1597579200000,49
1597582800000,50
1597586400000,17
1597590000000,55
1597593600000,67
1597597200000,11
1597600800000,78
1597604400000,27
1597608000000,28
1597611600000,28
1597615200000,24
1597618800000,44
1597622400000,85
1597626000000,57
1597629600000,76
1597633200000,91
1597636800000,68
1597640400000,88
1597644000000,90
1597647600000,30
1597651200000,98
1597654800000,55
1597658400000,56
1597662000000,34
1597665600000,100
1597669200000,51
1597672800000,83
1597676400000,67
1597680000000,92
1597683600000,63
1597687200000,65
1597690800000,37
1597694400000,14
1597698000000,37
1597701600000,88
1597705200000,94
1597708800000,33
1597712400000,36
1597716000000,15
1597719600000,44
1597723200000,23
1597726800000,28
1597730400000,84
1597734000000,82
1597737600000,83
1597741200000,53
1597744800000,6
1597748400000,81
1597752000000,73
1597755600000,79
1597759200000,68
1597762800000,44
1597766400000,98
1597770000000,10
1597773600000,3
1597777200000,30
1597780800000,11
1597784400000,2
1597788000000,71
1597791600000,83
1597795200000,34
1597798800000,48
1597802400000,62
1597806000000,5
1597809600000,7
1597813200000,85
1597816800000,3
1597820400000,21
1597824000000,53
1597827600000,46
1597831200000,2
1597834800000,26
1597838400000,44
1597842000000,44
