date,consumption
1598936400000,51
1598940000000,59
1598943600000,36
1598947200000,12
1598950800000,33
1598954400000,46
1598958000000,24
1598961600000,57
1598965200000,81
1598968800000,18
1598972400000,100
1598976000000,28
1598979600000,86
1598983200000,30
1598986800000,46
1598990400000,18
1598994000000,44
1598997600000,41
1599001200000,62
1599004800000,77
1599008400000,96
1599012000000,28
1599015600000,35
1599019200000,67
1599022800000,55
1599026400000,21
1599030000000,7
1599033600000,71
1599037200000,43
1599040800000,22
1599044400000,59
1599048000000,13
1599051600000,4
1599055200000,85
1599058800000,47
1599062400000,65
1599066000000,82
1599069600000,92
1599073200000,88
1599076800000,45
1599080400000,86
1599084000000,84
1599087600000,74
1599091200000,79
1599094800000,61
1599098400000,65
1599102000000,100
1599105600000,20
1599109200000,83
1599112800000,60
1599116400000,90
1599120000000,69
1599123600000,34
1599127200000,47
1599130800000,17
1599134400000,22
1599138000000,11
1599141600000,27
1599145200000,85
1599148800000,79
1599152400000,46
1599156000000,58
1599159600000,32
1599163200000,81
1599166800000,18
1599170400000,27
1599174000000,29
1599177600000,95
1599181200000,39
1599184800000,48
1599188400000,99
1599192000000,15
1599195600000,13
1599199200000,65
1599202800000,62
1599206400000,72
1599210000000,41
1599213600000,89
1599217200000,70
1599220800000,21
1599224400000,70
1599228000000,27
1599231600000,4
1599235200000,41
1599238800000,71
1599242400000,84
1599246000000,29
1599249600000,17
1599253200000,48
1599256800000,13
1599260400000,46
1599264000000,80
1599267600000,67
1599271200000,52
1599274800000,37
1599278400000,94
1599282000000,93
1599285600000,82
1599289200000,7
1599292800000,54
1599296400000,35
1599300000000,37
1599303600000,23
1599307200000,86
1599310800000,95
1599314400000,94
1599318000000,34
1599321600000,86
1599325200000,1
1599328800000,29
1599332400000,48
1599336000000,50
1599339600000,58
1599343200000,93
1599346800000,30
1599350400000,67
1599354000000,28
1599357600000,32
1599361200000,79
1599364800000,66
1599368400000,65
1599372000000,56
1599375600000,59
1599379200000,61
1599382800000,95
1599386400000,45
1599390000000,17
1599393600000,54
1599397200000,72
1599400800000,11
1599404400000,69
1599408000000,6
1599411600000,52
1599415200000,80
1599418800000,99
1599422400000,44
1599426000000,86
1599429600000,6
1599433200000,35
1599436800000,68
1599440400000,37
1599444000000,50
1599447600000,12
1599451200000,53
1599454800000,75
1599458400000,86
1599462000000,8
1599465600000,68
1599469200000,34
1599472800000,86
1599476400000,20
1599480000000,96
1599483600000,20
1599487200000,11
1599490800000,10
1599494400000,74
1599498000000,19
1599501600000,23
1599505200000,45
1599508800000,48
1599512400000,98
1599516000000,87
1599519600000,58
1599523200000,48
1599526800000,41
1599530400000,80
1599534000000,30
1599537600000,37
